school_id,song name,lyrics,Latitude,Longitude
syracuse,Down the Field,"Down, down the field goes old Syracuse,

Just see those backs hit the line and go thro'

Down, down the field they go marching,

Fighting for the Orange staunch and true.

Rah! Rah! Rah!

Vict'ry's in sight for old Syracuse,

each loyal son knows the (opposing team's nickname) will lose,

For we'll fight, yes, we'll fight, and with all our might

For the glory of Syracuse.",43.0387,76.1337
virginia,The Good Old Song,"That good old song of

Wah-hoo-wa

We'll sing it o'er and o'er

It cheers our hearts and

warms our blood

To hear them shout and roar.

We come from Old Virginia,

Where all is bright and gay.

Let's all join hands and give a yell

For the dear old UVA

Wah-hoo-wa,

Wah-hoo-wa.

Uni-v, Virginia,

Hoo-rah-ray,

Hoo-rah-ray,

Ray! Ray! U-V-A

'Wah-hoo-wa'",38.0336,78.508
virginia_tech,Tech Triumph,"Techmen, we're Techmen, with spirit true and faithful,

Backing up our teams with hopes undying;

Techmen, Oh, Techmen, we're out to win today,

Showing 'pep' and life with which we're trying;

V.P., old V.P., you know our hearts are with you

In our luck which never seems to die;

Win or lose, we'll greet you with a glad returning,

You're the pride of V.P.I.

Just watch our men so big and active

Support the Orange and Maroon. Let's go Techs.

We know our ends and backs are stronger,

With winning hopes, we fear defeat no longer.

To see our team plow through the line, boys.

Determined now to win or die:

So give a Hokie, Hokie, Hokie, Hi,

Rae, Ri, old V.P.I.",37.2284,80.4234
wake_forest,O Here's To Wake Forest,"O here's to Wake Forest

A glass of the finest

Red ruddy, Rhenish filled up to the brim.

Her sons they are many

Unrivaled by any

With hearts o'erflowing, we will sing a hymn.

Rah! Rah! Wake Forest Rah!

Old Alma Mater's sons are we.

We'll herald the story

And die for her glory,

Old Gold and Black is ever waving high.

As frosh we adore her

As sophs we explore her

And carve our names upon her ancient walls.

As juniors patrol her

As seniors extol her

And weep to leave fore'er her sacred halls.",35.9799,78.5097
baylor,Old Fight,"Bear down you Bears of Old Baylor U We're all for you!

GO BEARS!

We're gonna show dear old Baylor spirit through and through!

GO BEARS!

Come on and fight them with all your might you bruins bold

And win all our victories for the Green and Gold!

B! A! Y! L! O! R! BAYLOR! BEARS! FIGHT!

Come on and fight them with all your might you bruins bold

And win all our victories for the Green and Gold!

B-A-Y-L-O-R BAYLOR BEARS FIGHT!",31.5501,97.1135
iowa_state,Iowa State Fights,"O we will fight, fight, fight for Iowa State,

And may her colors ever fly.

Yes, we will fight with might for Iowa State,

With a will to do or die,

Rah! Rah! Rah!

Loyal sons forever true,

And we will fight the battle through.

And when we hit that line we'll hit it hard

ev'ry yard for I.S.U.",42.0267,93.6465
kansas,I'm a Jayhawk,"Talk about the Sooners, Cowboys and the Bears,

Aggies and the Tiger and his tail.

Talk about the Wildcats, and the Cyclone boys,

But I'm the bird to make 'em weep and wail.

'Cause I'm a Jay, Jay, Jay, Jay, Jayhawk,

Up at Lawrence on the Kaw-

'Cause I'm a Jay, Jay, Jay, Jay, Jayhawk,

With a sis-boom, hip hoorah,

Got a bill that's big enough

To twist a Tiger's tail,

Rope some 'Horns and listen

To the Red Raiders wail-

'Cause I'm a Jay, Jay, Jay, Jay, Jayhawk,

Riding on a Kansas gale.",38.9543,95.2558
kansas_state,Wildcat Victory,"Fight, you K-State Wildcats

For alma mater fight-fight-fight!

Glory in the combat

For the purple and the white.

Faithful to our colors.

We will ever be,

Fighting ever fighting for a

Wildcat Victory!

Go State!",39.1974,96.5847
oklahoma,Boomer Sooner,"Boomer Sooner, Boomer Sooner

Boomer Sooner, Boomer Sooner

Boomer Sooner, Boomer Sooner

Boomer Sooner, OK U!

Oklahoma, Oklahoma

Oklahoma, Oklahoma

Oklahoma, Oklahoma

Oklahoma, OK U!

I'm a Sooner born and Sooner bred

and when I die, I'll be Sooner dead

Rah Oklahoma, Rah Oklahoma

Rah Oklahoma, OK U!",35.1987,97.4449
oklahoma_state,Ride 'Em Cowboys,"Ride, ride, ride, ride,

Ride ‘em Cowboys,

Right down the field;

Fight! Fight! Fight! Fight!

Fight ‘em Cowboys, and never yield.

Ride, ride, ride, ride,

Ride on, Cowboys, to victory;

Cross (opponent)’s goal;

Then we’ll sing “O-kla-homa State!”",36.1266,97.0735
texas,Texas Fight,"Texas Fight, Texas Fight,

And it’s goodbye to A&M.;

Texas Fight, Texas Fight,

And we’ll put over one more win.

Texas Fight, Texas Fight,

For it’s Texas that we love best.

Give 'em hell, give 'em hell! Go, Horns, go!

And it’s good-bye to all the rest!

Yea Orange! Yea White!

Yea Longhorns! Fight! Fight! Fight!

Texas Fight! Texas Fight,

Yea Texas Fight!

Texas Fight! Texas Fight,

Yea Texas Fight! The Eyes of Texas are upon you,

All the livelong day.

The Eyes of Texas are upon you,

You cannot get away.

Texas Fight, Texas Fight,

For it’s Texas that we love best.

Give 'em hell, give 'em hell! Go, Horns, go!

And it good-bye to all the rest!",30.285,97.7335
tcu,TCU Fight Song,"We'll raise a song, both loud and long

To cheer our team to victory

For TCU, so tried and true,

We pledge eternal loyalty.

Rah, Rah, TCU!

Fight on boys, fight, with all your might

Roll up the scores for TCU

Hail white and purple flag whose heroes never lag,

Horned Frog, we are all for you!",32.7079,97.3628
texas_tech,"Fight, Raiders, Fight","Fight, Raiders, Fight! Fight, Raiders, Fight!

Fight for the school we love so dearly.

You'll hit 'em high, you'll hit 'em low.

You'll push the ball across the goal,

Tech, Fight! Fight!

We'll praise your name, boost you to fame.

Fight for the Scarlet and Black.

You will hit 'em, you will wreck 'em.

Hit 'em! Wreck 'em, Texas Tech!

And the Victory Bells will ring out!",33.5845,101.8751
west_virginia,Hail West Virginia,"It's West Virginia, It's West Virginia

The Pride of every Mountaineer.

Come on you old grads, join with us young lads,

It's West Virginia now we cheer!

Now is the time, boys, to make a big noise

No matter what the people say,

For there is naught to fear; the gang's all here,

So hail to West Virginia, Hail",39.648,79.9697
illinois,Oskee-Wow-Wow,"Old Princeton yells her Tiger,

Wisconsin, her Varsity

And they give the same old Rah, Rah, Rah,

At each University,

But the yell that always thrills me

And fills my heart with joy,

Is the good old Oskee-Wow-Wow,

That they yell at Illinois.

Oskee-Wow-Wow,

Illinois,

Our eyes are all on you.

Oskee-Wow-Wow,

Illinois,

Wave your Orange and your Blue,

Rah, Rah,

When the team trots out before you,

Every man stand up and yell,

Back the team to victory,

Oskee-Wow-Wow.

Illinois.",40.0985,88.2291
indiana,"Indiana, Our Indiana","Indiana, Our Indiana

Indiana, we're all for you

We will fight for

the Cream & Crimson,

For the glory of Old IU

Never daunted, we cannot falter

In the battle, we're tried and true

Indiana, Our Indiana

Indiana, we're all for you!",39.1682,86.523
iowa,Iowa Fight Song,"The word is 'Fight! Fight! Fight! for IOWA,'

Let every loyal Iowan sing;

The word is 'Fight! Fight! Fight! for IOWA,'

Until the walls and rafters ring (rah! rah!)

Come on and cheer, cheer, cheer for IOWA,

Come on and cheer until you hear the final gun.

The word is 'Fight! Fight! Fight! for IOWA,'

Until the game is won.",41.6627,91.555
maryland,Maryland Fight Song,"Fight, fight, fight for Maryland,

Honor now her name again,

Push up the score, keep on fighting for more,

For Maryland, GO TERPS!

And we will fight, fight, fight for terrapins,

Keep on fighting 'till we win.

So sing out our song as we go marching along,

To victory!!!",38.9869,76.9426
michigan,The Victors,"Hail! to the victors valiant

Hail! to the conqu'ring heroes

Hail! Hail! to Michigan

the leaders and best

Hail! to the victors valiant

Hail! to the conqu'ring heroes

Hail! Hail! to Michigan,

the champions of the West!",42.2771,83.7382
michigan_state,Victory for MSU,"On the banks of the Red Cedar,

There's a school that's known to all;

Its specialty is winning,

And those Spartans play good ball;

Spartan teams are never beaten,

All through the game they fight;

Fight for the only colors,

Green and White.

Go right through for MSU,

Watch the points keep growing.

Spartan teams are bound to win,

They're fighting with a vim.

Rah! Rah! Rah!

See their team is weakening,

We're going to win this game.

Fight! Fight! Rah! Team, Fight!

Victory for MSU.",42.7251,84.4791
minnesota,The Minnesota Rouser,"Minnesota, Hats off to thee!

To thy colors, true we shall ever be,

Firm and strong, united are we.

Rah! Rah! Rah! for Ski-U-Mah,

Rah! Rah! Rah! Rah! Rah for the U of M.

[Repeat]

M - I - N - N - E - S - O - T - A!

Minnesota! Minnesota! Yeaaaaaaah Gophers!",44.974,93.2277
nebraska,Dear Old Nebraska U.,"There is no place like Nebraska,

Dear old Nebraska U.

Where the girls are the fairest,

The boys are the squarest,

Of any old school that I knew.

There is no place like Nebraska,

Where they're all true blue.

We'll all stick together,

In all kinds of weather,

For dear old Nebraska U.",40.8202,96.7005
northwestern,Go! U Northwestern,"Go! U Northwestern!

Break right through that line.

With our colors flying,

We will cheer you all the time.

U! Rah! Rah!

Go! U Northwestern!

Fight for victory.

Spread far the fame of our fair name.

Go Northwestern, win that game!

(Whistle)

(Yell) Go! Northwestern Go!

(Whistle)

(Yell) Go! Northwestern Go!

Hit 'em hard!

Hit 'em low!

Go, Northwestern Go!",42.0565,87.6753
ohio_state,Buckeye Battle Cry,"In old Ohio there's a team,

That's known thru-out the land;

Eleven warriors, brave and bold,

Whose fame will ever stand,

And when the ball goes over,

Our cheers will reach the sky,

Ohio Field will hear again

The Buckeye Battle Cry.

Drive! Drive on down the field;

Men of the scarlet and gray;

Don't let them thru that line,

We've got to win this game today,

Come on, Ohio!

Smash thru to victory,

We'll cheer you as you go;

Our honor defend

So we'll fight to the end

For Ohio.",40.0061,83.0283
penn_state,"Fight On, State","Fight on State (GO!)

Fight on State (GO!)

Strike your gait and win, (LET’S GO STATE!)

Victory we predict for thee

We’re ever true to you, dear old White and Blue.

Onward State, (GO!)

Onward State, (GO!)

Roar, Lions, roar: (LET’S GO STATE!)

We’ll hit that line, roll up the score,

Fight on to victory ever more,

Fight on, on, on, on, on, Fight on, on, Penn State! (S-T-A-T-E GO! STATE!)",40.7982,77.8599
purdue,Hail Purdue,"To Your Call Once More We Rally;

Alma Mater Hear Our Praise;

Where The Wabash Spreads Its Valley,

Filled With Joy Our Voices Raise.

From The Skies In Swelling Echoes

Come The Cheers That Tell The Tale

Of Your Vict'ries And Your Heroes,

Hail Purdue! We Sing All Hail!

Hail, Hail To Old Purdue!

All Hail To Our Old Gold And Black!

Hail, Hail To Old Purdue!

Our Friendship May She Never Lack.

Ever Grateful, Ever True,

Thus We Raise Our Song Anew

Of The Days We’ve Spent With You,

All Hail Our Own Purdue!
",40.4237,86.9212
rutgers,The Bells Must Ring,"March, men of Rutgers

Down the field today.

March to another score,

Forward to the fray;

Fight, men of Rutgers

As in days gone by

Fight! For the Scarlet Flag over the rest must fly.

Keep Rutgers colors to the fore

For they must win so fight, fight, fight!

And we'll advance some more to score,

The Rutgers flag flies high tonight, alright, alright

We'll fling the Scarlet Banner out,

And Rutgers men will fight, fight, fight, fight, fight;

The bells of Queens each victory shout

The bells of Queens must ring tonight.

RU, Rah, Rah;

RU, Rah, Rah,

Whoo-Rah, Whoo-Rah;

Rutgers Rah

Up Stream Red Team

Red Team Up Stream

Rah, Rah, Rutgers Rah",40.5018,74.4479
wisconsin,"On, Wisconsin","On Wisconsin, On Wisconsin

Plunge right through that line,

Run the ball clear down the field, boys

Touchdown sure this time

On Wisconsin, On Wisconsin

Fight on for her fame,

Fight, Fellows, Fight, Fight, Fight

We'll win this game!",43.0755,89.4155
oregon,Mighty Oregon,"Oregon, our Alma Mater, we will guard thee on and on.

Fellows gather ‘round and cheer her; chant her glory, Oregon.

Roar the praises of her warriors, sing the story, Oregon;

On to victory urge the heroes of our Mighty Oregon.

We will march, march, on down the field, fighting for Oregon.

Plough through the foeman's line their strength we'll defy.

We'll give a long cheer for our men. We're out to win again.

OSU may fight to the end but we will win.
",44.0448,123.0726
ucla,Sons of Westwood,"We are Sons of Westwood,

And we hail the Blue and Gold;

True to thee our hearts will be,

Our love will not grow old.

Bruins roam the hills of Westwood,

By the blue Pacific shore;

And when they chance to see a man from USC,

Ev'ry Bruin starts to roar.

U! (3 claps)

C! (3 claps)

L! (3 claps)

A! (3 claps)

U-C-L-A! Fight! Fight! Fight!",34.0699,118.4438
usc,"Fight On, USC","Fight On for ol’ SC

Our men Fight On to victory.

Our Alma Mater dear, looks up to you

Fight On and win for ol’ SC

Fight On to victory. Fight On!",34.0224,118.2851
washington,Bow Down to Washington,"Bow down to Washington

Bow down to Washington

Mighty are the ones who wear the purple and the gold

Joyfully we welcome them within the victor’s fold

We will carve their names in the hall of fame

to preserve the memory of our devotion.

So heaven help the foes of Washington

They’re trembling at the feet of mighty Washington

Our teams are there with bells

Their fighting blood excels

It’s harder to push them over the line than pass the Dardanelles.

So, “VICTORY’S” the cry of Washington

Our leather lungs together with a RAH! RAH! RAH!

And o’er the land the loyal band will sing the glory of Washington forever!",38.6488,90.3108
notre_dame,Victory March,"Rally sons of Notre Dame:

Sing her glory and sound her fame,

Raise her Gold and Blue

And cheer with voices true:

Rah, rah, for Notre Dame

We will fight in ev-ry game,

Strong of heart and true to her name

We will ne'er forget her

And will cheer her ever

Loyal to Notre Dame

Cheer, cheer for old Notre Dame,

Wake up the echoes cheering her name,

Send a volley cheer on high,

Shake down the thunder from the sky.

What though the odds be great or small

Old Notre Dame will win over all,

While her loyal sons are marching

Onward to victory.",41.7052,86.2352
arizona,"Bear Down, Arizona","Bear Down, Arizona

Bear Down, red and Blue

Bear Down, Arizona

Hit 'em hard, let 'em know who's who;

Bear Down, Arizona

Bear Down, Red and Blue

Go, go, Wildcats, go;

Arizona, Bear Down",32.2319,110.9535
arizona_state,Maroon and Gold,"Fight, Devils Down The Field

Fight With Your Might and Don't Ever Yield

Long May Our Colors Outshine All Others

Echo From The Buttes, Give 'Em Hell Devils!

Cheer, Cheer For A-S-U

Fight For The Old Maroon

For it's Hail, Hail, The Gang's All Here

And It's Onward to Victory!",33.423,111.9278
california,Fight for California,"Our sturdy Golden Bear,

Is watching from the skies,

Looks down upon our colors fair,

And guards us from his lair.

Our banner Gold and Blue,

The symbol on it too,

Means FIGHT! for California.

For California through and through!

Stalwarts girded for the fray,

Will strive for victory,

Their all at Mater’s feet will lay,

That brain and brawn will win the day.

Our mighty sons and true

Will strive for us anew,

And FIGHT! for California,

For California through and through!",37.8712,122.2555
colorado,Fight CU,"Fight CU down the field,

CU must win

Fight, fight for victory

CU knows no defeat

We'll roll up a mighty score

Never give in

Shoulder to shoulder

We will fight, fight

Fight, fight, fight!",40.0073,105.266
oregon_state,Hail to Old OSU,"OSU our hats are off to you,

Beavers, Beavers fighters thru and thru.

We'll cheer throughout the land,

We'll root for ev'ry plan,

(LET’S X GO X O-S-U!)

Watch our team go tearing down the field,

Those of iron their strength will never yield.

Hail, hail, hail, hail,

Hail to old OSU.

(OSU Fight! B-E-A-V-E-R-S)",44.5618,123.2823
stanford,Come Join the Band,"Come, join the band,

And give a cheer for Stanford red;

Throughout the land

Our banner waving overhead;

Stanford, for you,

Each loyal comrade brave and true,

With might and main sings this refrain,

“Forever and forever Stanford red.”

After the game,

When Stanford red has won the day,

Praising her name

Down on the field we’ll force our way

And on the green

Each man who joins the serpentine

With might and main sings this refrain.

“Forever and forever Stanford red.”",37.4277,122.1701
utah,Utah Man,"I am a Utah man (fan), sir, and I live across the green,

Our gang it is the jolliest that you have ever seen.

Our students are the finest and each one's a shining star,

Our yell, you'll hear it ringing through the mountains near and far!

Who am I, sir,

A Utah man (fan) am I!

A Utah man (fan), sir,

Will be 'til I die.

Ki-yi!

We're up to snuff, we never bluff, we're game for any fuss.

No rival band of college fans dare meet us in The Muss.

So fill your lungs and sing it out and shout it to the sky,

We'll fight for dear old crimson for a Utah man (fan) am I!

Ki-yi!

And when we prom the avenue,

All lined up in a row, and arm in arm,

And step in time as down the street we go.

No matter if a freshman green, or in a senior's gown,

the people all admit we are the warmest gang in town.

We may not live forever on this jolly good sphere,

But while we do we'll live a life of merriment and cheer,

And when our college days are o'er and night is drawing nigh,

With parting breath we'll sing that song: “A Utah man (fan) Am I.”",40.7649,111.8421
washington_state,The Fight Song,"Fight, fight, fight for Washington State

Win the victory,

Win the day for Crimson and Gray!

Best in the West,

We know you'll all do your best,

So on, on, on, on!

Fight to the end!

Honor and glory you must win!

So fight, fight, fight for Washington State and

Victory!

W-A-S-H-I-N-G-T-O-N

S-T-A-T-E

C-O-U-G-S

Go Cougs!",46.7289,117.1468
alabama,Yea Alabama,"Yea, Alabama! Drown 'em Tide!

Every 'Bama man's behind you,

Hit your stride.

Go teach the Bulldogs to behave,

Send the Yellow Jackets to a watery grave.

And if a man starts to weaken,

That's a shame!

For Bama's pluck and grit have

Writ her name in Crimson flame.

Fight on, fight on, fight on men!

Remember the Rose Bowl, we'll win then.

Go, roll to victory,

Hit your stride,

You're Dixie's football pride,

Crimson Tide, Roll Tide, Roll Tide!!",33.2114,87.5401
arkansas,Arkansas Fight,"Hit that line! Hit that line!

Keep on going!

Move that ball right down the field!

Give a cheer. Rah! Rah!

Never fear. Rah! Rah!

Arkansas will never yield!

On your toes, Razorbacks, to the finish,

Carry on with all your might!

For it’s A-A-A-R-K-A-N-S-A-S

for Arkansas!

Fight! Fight! Fi-i-i-ight!",36.0687,94.1748
auburn,War Eagle,"War Eagle, fly down the field,

Ever to conquer, never to yield.

War Eagle, fearless and true.

Fight on you orange and blue.

Go! Go! Go!

On to vict'ry, strike up the band.

Give 'em hell, give 'em hell,

Stand up and yell, hey!

War Eagle, win for Auburn,

Power of Dixieland!",32.5981,85.4943
florida,The Orange and Blue,"So give a cheer for the Orange and Blue

Waving Forever!

Forever pride of Old Florida,

May she droop never.

We’ll sing a song for the flag today,

Cheer for the team at play!

On to the goal,

We’ll fight our way for

Flor-i-da!

Go Gators!",29.6465,82.3533
georgia,"Glory, Glory","Glory, glory to old Georgia!

Glory, glory to old Georgia!

Glory, glory to old Georgia!

G-E-O-R-G-I-A.

Glory, glory to old Georgia!

Glory, glory to old Georgia!

Glory, glory to old Georgia!

G-E-O-R-G-I-A.",33.9423,83.3724
kentucky,On! On! U of K,"On, on, U of K, we are right for the fight today,

Hold that ball and hit that line;

Ev'ry Wildcat star will shine;

We'll fight, fight, fight, for the blue and white

As we roll to that goal, Varsity,

And we'll kick, pass and run, 'till the battle is won,

And we'll bring home the victory.",38.0307,84.504
lsu,Fight for LSU,"Like Knights of old, Let's fight to hold

The glory of the Purple Gold.

Let's carry through, Let's die or do

To win the game for dear old LSU.

Keep trying for that high score;

Come on and fight,

We want some more, some more.

Come on you Tigers, Fight! Fight! Fight!

for dear old L-S-U.

RAH!",30.4102,91.1857
mississippi,Forward Rebels,"Forward Rebels, march to fame,

Hit that line and win this game,

We know that you'll fight it through,

For your colors Red and Blue — Fight, Fight, Fight.

Rebels you're the Southland's pride,

Take that ball and hit your stride,

Don't stop 'till the victory's won,

For your Ole Miss.

Fight, fight for your Ole Miss.",34.3662,89.538
mississippi_state,Hail State,"Hail dear ol' State!

Fight for that victory today.

Hit that line and tote that ball,

Cross the goal before you fall!

And then we'll yell, yell, yell, yell!

For dear ol' State

we'll yell like H-E-L-L!

Fight for Mis-sis-sip-pi State,

Win that game today!",33.4577,88.7942
missouri,Fight Tiger,"Fight, Tiger, fight for old Mizzou,

Right behind you, everyone is with you.

Break the line and follow down the field,

And, you’ll be, on the top, upon the top.

Fight, Tiger, you will always win,

Proudly keep the colors flying skyward.

In the end, we’ll win the victory,

So Tiger, fight for Old Mizzou!
",38.9404,92.3277
south_carolina,The Fighting Gamecocks Lead the Way (Step to the Rear),"Hey, Let’s give a cheer, Carolina is here,

The Fighting Gamecocks lead the way.

Who gives a care, If the going gets tough,

And when it is rough, that’s when the ‘Cocks get going.

Hail to our colors of garnet and black,

In Carolina pride have we.

So, Go Gamecocks Go - FIGHT!

Drive for the goal - FIGHT!

USC will win today - GO COCKS!

So, let’s give a cheer, Carolina is here.

The Fighting Gamecocks All The Way",33.9949,81.0285
tennessee,Rocky Top,"Wish that I was on ol’ Rocky Top

Down in the Tennessee hills

Ain’t no smoggy smoke on Rocky Top

Ain’t no telephone bills

Once I had a girl on Rocky Top

Half bear, the other half cat

Wild as a mink, but sweet as soda pop

I still dream about that

Rocky Top you’ll always be

Home sweet home to me

Good ol’ Rocky Top

Rocky Top Tennessee, Rocky Top Tennessee",35.9544,83.9295
texas_aandm,Aggie War Hymn,"Hullabaloo, Caneck, Caneck

Hullabaloo, Caneck, Caneck

Good bye to Texas University

So long to the orange and the white

Good luck to dear old Texas Aggies

They are the boys who show the real old fight

'the eyes of Texas are upon you'

That is the song they sing so well

Sounds Like Hell

So good bye to Texas University

We're gonna beat you all to

Chigaroogarem

Chigaroogarem

Rough, Tough, Real stuff, Texas A&M;

Saw varsity's horns off

Saw varsity's horns off

Saw varsity's horns off

Short! A!

Varsity's horns are sawed off

Varsity's horns are sawed off

Varsity's horns are sawed off

Short! A!
",30.6187,96.3364
vanderbilt,Dynamite,"Dynamite, Dynamite

When VANDY starts to fight.

Down the field with blood to yield,

If need be, save the shield.

If vict'ry's won, when battle's done,

Then VANDY's name will rise in fame.

Win not lose,

It's ours to choose,

And VANDY's game will be the same.

Dynamite, Dynamite

When VANDY starts to fight!

Fight!",36.1447,86.8027
